translation,valence_group,Arousal_mean_rating,Valence_mean_rating,Arousal_median_rating,Valence_median_rating,Arousal_sd_rating,Valence_sd_rating,Arousal_n_rating,Valence_n_rating,new_valence_group,dropped
eper,pos,3.3846153846153846,7.661538461538462,2,8,2.6082340031877154,1.5132428245836311,65,65,pos,kept
gyerek,pos,3.9384615384615387,7.292307692307692,3,8,2.5792254353107342,1.6271435566188233,65,65,pos,kept
trópusok,pos,4.046153846153846,7.153846153846154,4,7,2.5825784670482985,1.6224091772612537,65,65,pos,kept
víz,pos,2.8461538461538463,7.2,2,7,2.159504929019968,1.715735993677349,65,65,pos,kept
úriember,pos,3.476923076923077,7.153846153846154,3,7,2.3855534755304446,1.5332845588675112,65,65,pos,kept
élő,pos,3.923076923076923,7.4,4,8,2.272854017444892,1.6278820596099706,65,65,pos,kept
csodálatos,pos,4.338461538461538,8.261538461538462,4,9,2.734484201116153,1.1494145667050883,65,65,pos,kept
elégedett,pos,3.1076923076923078,7.523076923076923,2,8,2.3725189469941337,1.5011213757106334,65,65,pos,kept
optimista,pos,3.769230769230769,7.8307692307692305,3,8,2.350327309448295,1.3058669386803778,65,65,pos,kept
papa,pos,3.4615384615384617,7.2615384615384615,3,8,2.4114111731834216,1.779017663249538,65,65,pos,kept
pihentető,pos,2.4461538461538463,7.707692307692308,1,8,2.208157951429548,1.354657208981724,65,65,pos,kept
jó,pos,3.1538461538461537,7.476923076923077,2,7,2.3400772505328833,1.3122939398684217,65,65,pos,kept
masszázs,pos,3.5538461538461537,7.4,3,8,2.5496983230299106,1.5390743971621386,65,65,pos,kept
optimista,pos,3.769230769230769,7.8307692307692305,3,8,2.350327309448295,1.3058669386803778,65,65,pos,kept
elégedett,pos,3.1076923076923078,7.523076923076923,2,8,2.3725189469941337,1.5011213757106334,65,65,pos,kept
