translation,valence_group,Arousal_mean_rating,Valence_mean_rating,Arousal_median_rating,Valence_median_rating,Arousal_sd_rating,Valence_sd_rating,Arousal_n_rating,Valence_n_rating,new_valence_group,dropped
limfóma,neg,4.1875,2.1076923076923078,5,2,2.4421887138969653,1.415572729974039,64,65,neg,kept
gyengélkedő,neg,4.609375,2.476923076923077,5,2,2.120326326337229,1.4373118605978956,64,65,neg,kept
sértő,neg,5.265625,2.2615384615384615,5,2,2.041180700181552,1.2409286225056806,64,65,neg,kept
beteg,neg,5.234375,1.676923076923077,6,1,2.2938301475984977,1.1740380677880018,64,65,neg,kept
lopás,neg,5.24031007751938,2.1538461538461537,6,2,2.426337240183395,1.3891134781642753,129,130,neg,kept
koldus,neg,4.546875,2.4461538461538463,5,2,2.196170458443443,1.479344969390689,64,65,neg,kept
barátságtalan,neg,4.51937984496124,2.3230769230769233,5,2,2.1581993912526016,1.359522172188681,129,130,neg,kept
hanyatlás,neg,4.703125,2.3230769230769233,5,2,2.414767316011253,1.1872722453655626,64,65,neg,kept
elégedetlenség,neg,5.0625,2.476923076923077,5,2,2.2387283805555245,1.5011213757106334,64,65,neg,kept
elhízottság,neg,4.953125,2.4923076923076923,5,2,2.4131234287826397,1.3820622829113578,64,65,neg,kept
csúfolódás,neg,5.09375,2.0923076923076924,5,2,2.31433592930041,1.3313888064146229,64,65,neg,kept
elhagy,neg,5.7421875,1.6846153846153846,6,1,2.459902353064888,1.1880191016174741,128,130,neg,kept
narancsbőr,neg,4.25,2.8153846153846156,5,2,2.4037008503093262,1.7129315851441982,64,65,neg,kept
undorító,neg,5.03125,2.0615384615384613,5,2,2.1600172691843467,1.321421146400286,64,65,neg,kept
méltatlan,neg,4.246153846153846,2.523076923076923,5,3,2.208157951429548,1.2261180141468375,65,65,neg,kept
mumpsz,neg,4.323076923076923,2.5384615384615383,5,2,2.20161653895845,1.7595891128765961,65,65,neg,kept
taknyos,neg,3.646153846153846,2.4615384615384617,4,2,2.072368581710681,1.3237839121827422,65,65,neg,kept
tályog,neg,4.461538461538462,2.1538461538461537,5,1,2.5067217328921543,1.3945291457913451,65,65,neg,kept
lefog,neg,4.969230769230769,2.523076923076923,5,2,2.2077224602604515,1.40432025714058,65,65,neg,kept
bizonytalan,neg,4.2,2.8615384615384616,4,3,2.4315632831575655,1.2103321222515109,65,65,neg,kept
szenvedni,neg,5.569230769230769,1.8,6,1,2.318197243881215,1.449137674618944,65,65,neg,kept
barátságtalan,neg,4.51937984496124,2.3230769230769233,5,2,2.1581993912526016,1.359522172188681,129,130,neg,kept
lepra,neg,4.7846153846153845,1.4615384615384615,5,1,2.211421401584197,0.9366983752275041,65,65,neg,kept
érzéketlen,neg,4.476923076923077,2.1846153846153844,5,2,2.4565454167622027,1.2233701873859013,65,65,neg,kept
elfajzott,neg,4.769230769230769,2.2615384615384615,5,2,2.220425288438785,1.2903115306598814,65,65,neg,kept
kényszer,neg,5.092307692307692,2.2153846153846155,6,2,2.4413308161423255,1.3635008673941558,65,65,neg,kept
éhezik,neg,5.276923076923077,1.676923076923077,6,1,2.204453534238221,1.2637703053226819,65,65,neg,kept
émelyítő,neg,4.6,2.9384615384615387,5,3,2.32379000772445,1.8698004829804291,65,65,neg,kept
váladék,neg,4.3538461538461535,2.230769230769231,5,2,2.4394592717365744,1.3780560444112793,65,65,neg,kept
